;NameSc;nObservaties;levensvorm;
1;Achillea millefolium L.;38;kruid;
2;Achillea ptarmica L.;3;kruid;
3;Aegopodium podagraria L.;1;kruid;
4;Agrimonia procera Wallr.;2;kruid;
5;Agrostis;2;gras;
6;Agrostis canina L.;26;gras;
7;Agrostis capillaris L.;106;gras;
8;Agrostis gigantea Roth;7;gras;
9;Agrostis stolonifera L.;1;gras;
10;Agrostis vinealis Schreb.;27;gras;
11;Aira caryophyllea L.;7;gras;
12;Aira praecox L.;15;gras;
13;Ajuga reptans L.;3;kruid;
14;Alnus glutinosa (L.) Gaertn.;3;fanerofyt;
15;Alopecurus pratensis L.;1;gras;
16;Angelica sylvestris L.;3;kruid;
17;Anthoxanthum odoratum L.;48;gras;
18;Arenaria serpyllifolia L.;4;kruid;
19;Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl;6;gras;
20;Artemisia vulgaris L.;1;kruid;
21;Athyrium filix-femina (L.) Roth;3;kruid;
22;Bellis perennis L.;3;kruid;
23;Betula;4;fanerofyt;
24;Betula pendula Roth;36;fanerofyt;
25;Betula pubescens Ehrh.;22;fanerofyt;
26;Blechnum spicant (L.) Roth;3;kruid;
27;Briza media L.;1;gras;
28;Bromus hordeaceus L.;6;gras;
29;Calamagrostis canescens (Weber) Roth;1;gras;
30;Calamagrostis epigejos (L.) Roth;9;gras;
31;Calluna vulgaris (L.) Hull;91;dwergstruik;
32;Campanula rapunculus L.;3;kruid;
33;Campanula rotundifolia L.;8;kruid;
34;Cardamine pratensis L.;1;kruid;
35;Carduus crispus L.;1;kruid;
36;Carex acuta L.;3;schijngras;
37;Carex acutiformis Ehrh.;3;schijngras;
38;Carex arenaria L.;2;schijngras;
39;Carex binervis Smith;2;schijngras;
40;Carex demissa Vahl ex Hartm.;6;schijngras;
41;Carex disticha Huds.;1;schijngras;
42;Carex echinata Murray;4;schijngras;
43;Carex flacca Schreb.;1;schijngras;
44;Carex hirta L.;8;schijngras;
45;Carex nigra (L.) Reichard;11;schijngras;
46;Carex oederi Retz.;1;schijngras;
47;Carex ovalis Good.;12;schijngras;
48;Carex pallescens L.;9;schijngras;
49;Carex panicea L.;11;schijngras;
50;Carex pilulifera L.;74;schijngras;
51;Carex rostrata Stokes;2;schijngras;
52;Carex spicata Huds.;1;schijngras;
53;Carex sylvatica Huds.;2;schijngras;
54;Carpinus betulus L.;1;fanerofyt;
55;Castanea sativa Mill.;1;fanerofyt;
56;Catapodium;1;gras;?? checken in welke opname
57;Centaurea jacea L.;20;kruid;
58;Centaurea nigra L.;2;kruid;
59;Centaurium erythraea Rafn;9;kruid;
60;Cerastium fontanum Baumg.;28;kruid;
61;Cerastium glomeratum Thuill.;2;kruid;
62;Cerastium semidecandrum L.;1;kruid;
63;Cirsium arvense (L.) Scop.;12;kruid;
64;Cirsium palustre (L.) Scop.;16;kruid;
65;Cirsium vulgare (Savi) Ten.;2;kruid;
66;Cladina spec.;1;mos;
67;Comarum palustre L.;1;kruid;
68;Convolvulus arvensis L.;1;kruid;
69;Conyza canadensis (L.) Cronq.;5;kruid;
70;Corynephorus canescens (L.) Beauv.;2;gras;
71;Crataegus monogyna Jacq.;7;fanerofyt;
72;Crepis capillaris (L.) Wallr.;18;kruid;
73;Cynosurus cristatus L.;3;gras;
74;Cytisus scoparius (L.) Link;13;dwergstruik;
75;Dactylis glomerata L.;8;gras;
76;Dactylorhiza maculata (L.) Soó;8;kruid;
77;Dactylorhiza maculata subsp. maculata;3;kruid;
78;Danthonia decumbens (L.) DC.;63;gras;
79;Daucus carota L.;9;kruid;
80;Deschampsia flexuosa (L.) Trin.;25;gras;
81;Drosera intermedia Hayne;5;kruid;
82;Dryopteris;1;kruid;
83;Dryopteris carthusiana (Vill.) H.P. Fuchs;7;kruid;
84;Dryopteris dilatata (Hoffmann) A. Gray;3;kruid;
85;Dryopteris filix-mas (L.) Schott;2;kruid;
86;Echium vulgare L.;1;kruid;
87;Eleocharis multicaulis (Smith) Desv.;2;schijngras;
88;Eleocharis palustris (L.) Roem. et Schult.;1;schijngras;
89;Elytrigia repens (L.) Desv. ex Nevski;1;gras;
90;Epilobium;1;kruid;
91;Epilobium ciliatum Rafin.;1;kruid;
92;Epilobium tetragonum L.;1;kruid;
93;Equisetum arvense L.;9;kruid;
94;Erica cinerea L.;2;dwergstruik;
95;Erica tetralix L.;20;dwergstruik;
96;Eriophorum angustifolium Honck.;2;schijngras;
97;Erodium cicutarium (L.) L'Hérit.;2;kruid;
98;Eupatorium cannabinum L.;4;kruid;
99;Euphrasia stricta groep;8;kruid;
100;Euphrasia stricta J.P. Wolff ex Lehm.;3;kruid;
101;Fagus sylvatica L.;1;fanerofyt;
102;Festuca;2;gras;
103;Festuca filiformis Pourr.;52;gras;
104;Festuca ovina L.;5;gras;
105;Festuca rubra L.;49;gras;
106;Filago minima (Smith) Pers.;5;kruid;
107;Filipendula ulmaria (L.) Maxim.;3;kruid;
108;Fragaria vesca L.;4;kruid;
109;Galeopsis tetrahit L.;5;kruid;
110;Galium aparine L.;3;kruid;
111;Galium palustre L.;8;kruid;
112;Galium saxatile L.;22;kruid;
113;Genista anglica L.;8;dwergstruik;
114;Genista pilosa L.;1;dwergstruik;
115;Gentiana pneumonanthe L.;4;kruid;
116;Geranium molle L.;1;kruid;
117;Geum urbanum L.;2;kruid;
118;Glechoma hederacea L.;5;kruid;
119;Gnaphalium luteoalbum L.;1;kruid;
120;Gnaphalium sylvaticum L.;9;kruid;
121;Heracleum sphondylium L.;4;kruid;
122;Hieracium;7;kruid;
123;Hieracium aurantiacum L.;1;kruid;
124;Hieracium lactucella Wallr.;1;kruid;
125;Hieracium laevigatum Willd.;25;kruid;
126;Hieracium pilosella L.;46;kruid;
127;Hieracium praealtum Vill. ex Gochnat;6;kruid;
128;Hieracium sabaudum L.;4;kruid;
129;Hieracium umbellatum L.;15;kruid;
130;Hieracium vulgatum Fries;8;kruid;
131;Holcus lanatus L.;88;gras;
132;Holcus mollis L.;15;gras;
133;Hydrocotyle vulgaris L.;11;kruid;
134;Hypericum humifusum L.;3;kruid;
135;Hypericum maculatum Crantz;1;kruid;
136;Hypericum maculatum groep;2;kruid;
137;Hypericum perforatum L.;51;kruid;
138;Hypericum pulchrum L.;5;kruid;
139;Hypochaeris radicata L.;84;kruid;
140;Ilex aquifolium L.;1;fanerofyt;
141;Illecebrum verticillatum L.;3;kruid;
142;Iris pseudacorus L.;1;kruid;
143;Isolepis setacea (L.) R. Brown;3;schijngras;
144;Jasione montana L.;7;kruid;
145;Juncus acutiflorus Ehrh. ex Hoffmann;37;schijngras;
146;Juncus articulatus L.;2;schijngras;
147;Juncus bufonius L.;7;schijngras;
148;Juncus bulbosus L.;9;schijngras;
149;Juncus conglomeratus L.;34;schijngras;
150;Juncus effusus L.;50;schijngras;
151;Juncus squarrosus L.;22;schijngras;
152;Juncus tenuis Willd.;13;schijngras;
153;Lapsana communis L.;1;kruid;
154;Larix;4;fanerofyt;
155;Lathyrus pratensis L.;2;kruid;
156;Leontodon autumnalis L.;30;kruid;
157;Leontodon saxatilis Lam.;21;kruid;
158;Leucanthemum vulgare Lam.;18;kruid;
159;Linaria vulgaris Mill.;7;kruid;
160;Linum catharticum L.;1;kruid;
161;Lolium perenne L.;4;gras;
162;Lonicera periclymenum L.;4;kruid;
163;Lotus corniculatus L.;20;kruid;
164;Lotus pedunculatus Cav.;36;kruid;
165;Luzula;4;schijngras;
166;Luzula campestris (L.) DC.;66;schijngras;
167;Luzula congesta (Thuill.) Lej.;1;schijngras;
168;Luzula multiflora (Ehrh.) Lej.;42;schijngras;
169;Luzula multiflora subsp. congesta (Thuill.) Arcang.;6;schijngras;
170;Luzula multiflora subsp. multiflora;6;schijngras;
171;Lychnis flos-cuculi L.;2;kruid;
172;Lycopodiella inundata (L.) Holub;1;kruid;
173;Lycopus europaeus L.;5;kruid;
174;Lysimachia nummularia L.;1;kruid;
175;Lysimachia vulgaris L.;29;kruid;
176;Lythrum salicaria L.;7;kruid;
177;Medicago lupulina L.;3;kruid;
178;Melampyrum pratense L.;1;kruid;
179;Mentha aquatica L.;2;kruid;
180;Mentha arvensis groep;1;kruid;
181;Molinia caerulea (L.) Moench;68;gras;
182;Myosotis laxa subsp. cespitosa (C.F. Schultz) Hyl. ex Nordh.;1;kruid;
183;Myosotis scorpioides L.;2;kruid;
184;Myrica gale L.;1;fanerofyt;
185;Nardus stricta L.;16;gras;
186;Oenothera;4;kruid;
187;Ornithopus perpusillus L.;22;kruid;
188;Osmunda regalis L.;2;kruid;
189;Oxalis stricta auct. non L.;2;kruid;
190;Pedicularis sylvatica L.;16;kruid;
191;Persicaria amphibia (L.) S.F. Gray;1;kruid;
192;Persicaria hydropiper (L.) Spach;1;kruid;
193;Persicaria maculosa S.F. Gray;2;kruid;
194;Peucedanum palustre (L.) Moench;3;kruid;
195;Phleum pratense groep;1;gras;
196;Phleum pratense L.;2;gras;
197;Phragmites australis (Cav.) Steud.;3;gras;
198;Pimpinella saxifraga L.;4;kruid;
199;Pinus sylvestris L.;34;fanerofyt;
200;Plantago coronopus L.;1;kruid;
201;Plantago lanceolata L.;56;kruid;
202;Plantago major L.;9;kruid;
203;Poa trivialis L.;6;gras;
204;Polygala serpyllifolia Hose;3;kruid;
205;Polytrichum;1;mos;
206;Populus canescens (Ait.) Smith;1;fanerofyt;
207;Populus tremula L.;5;fanerofyt;
208;Potentilla anglica Laichard.;18;kruid;
209;Potentilla anserina L.;2;kruid;
210;Potentilla erecta (L.) Räuschel;41;kruid;
211;Potentilla reptans L.;3;kruid;
212;Prunella vulgaris L.;36;kruid;
213;Prunus serotina Ehrh.;40;fanerofyt;
214;Prunus spinosa L.;2;fanerofyt;
215;Pteridium aquilinum (L.) Kuhn;5;kruid;
216;Pulicaria dysenterica (L.) Bernh.;1;kruid;
217;Quercus robur L.;56;fanerofyt;
218;Quercus rubra L.;17;fanerofyt;
219;Ranunculus acris L.;13;kruid;
220;Ranunculus bulbosus L.;3;kruid;
221;Ranunculus flammula L.;6;kruid;
222;Ranunculus peltatus Schrank;1;kruid;
223;Ranunculus repens L.;31;kruid;
224;Rhamnus cathartica L.;2;fanerofyt;
225;Rhamnus frangula L.;25;fanerofyt;
226;Rhinanthus angustifolius C.C. Gmel.;3;kruid;
227;Rhinanthus minor L.;1;kruid;
228;Rhynchospora alba (L.) Vahl;1;schijngras;
229;Rhytidiadelphus squarrosus (Hedw.) Warnst.;3;mos;
230;Robinia pseudoacacia L.;6;fanerofyt;
231;Rosa;2;kruid;
232;Rubus;61;kruid;
233;Rubus idaeus L.;1;kruid;
234;Rumex acetosa L.;29;kruid;
235;Rumex acetosella L.;60;kruid;
236;Rumex obtusifolius L.;1;kruid;
237;Sagina procumbens L.;3;kruid;
238;Salix;36;fanerofyt;
239;Salix caprea L.;2;fanerofyt;
240;Salix cinerea L.;5;fanerofyt;
241;Salix repens L.;3;dwergstruik;
242;Sambucus nigra L.;1;fanerofyt;
243;Scirpus sylvaticus L.;1;schijngras;
244;Scutellaria minor Huds.;3;kruid;
245;Sedum acre L.;3;kruid;
246;Selinum carvifolia (L.) L.;2;kruid;
247;Senecio inaequidens DC.;3;kruid;
248;Senecio jacobaea L.;23;kruid;
249;Senecio vulgaris L.;5;kruid;
250;Silene flos-cuculi (L.) Greuter et Burdet;7;kruid;
251;Solanum dulcamara L.;1;kruid;
252;Solidago virgaurea L.;1;kruid;
253;Sorbus aucuparia L.;13;fanerofyt;
254;Spergularia rubra (L.) J. et C. Presl;2;kruid;
255;Stachys officinalis (L.) Trev.;1;kruid;
256;Stellaria graminea L.;10;kruid;
257;Stellaria media (L.) Vill.;1;kruid;
258;Succisa pratensis Moench;15;kruid;
259;Symphytum officinale L.;2;kruid;
260;Tanacetum vulgare L.;2;kruid;
261;Taraxacum;29;kruid;
262;Teucrium scorodonia L.;18;kruid;
263;Thalictrum flavum L.;1;kruid;
264;Thymus pulegioides L.;2;kruid;
265;Trifolium arvense L.;4;kruid;
266;Trifolium campestre Schreb.;2;kruid;
267;Trifolium dubium Sibth.;11;kruid;
268;Trifolium hybridum L.;3;kruid;
269;Trifolium pratense L.;17;kruid;
270;Trifolium repens L.;33;kruid;
271;Trisetum flavescens (L.) Beauv.;2;gras;
272;Urtica dioica L.;8;kruid;
273;Vaccinium myrtillus L.;6;dwergstruik;
274;Verbena officinalis L.;1;kruid;
275;Veronica arvensis L.;1;kruid;
276;Veronica chamaedrys L.;8;kruid;
277;Veronica officinalis L.;45;kruid;
278;Veronica scutellata L.;2;kruid;
279;Veronica serpyllifolia L.;6;kruid;
280;Vicia;4;kruid;
281;Vicia cracca L.;6;kruid;
282;Vicia hirsuta (L.) S.F. Gray;7;kruid;
283;Vicia sativa L.;3;kruid;
284;Vicia tetrasperma (L.) Schreb.;2;kruid;
285;Viola canina L.;7;kruid;
286;Viola palustris L.;2;kruid;
287;Viola riviniana Reichenb.;6;kruid;
288;Viola tricolor L.;9;kruid;
289;Vulpia bromoides (L.) S.F. Gray;9;gras;
290;Vulpia myuros (L.) C.C. Gmel.;1;gras;
